\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 4.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00266 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|             MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|      BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|     GLAT|      RA|      DEC|DEBLEND|CLUSTER|
|               char|    long|    double|double|  double|   double| long|double|  double|   double|double|double|double|  long|   double|   double|  double|   double|   long|   long|
|                   |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |         |arcsec|arcsec|   deg|      |      deg|      deg|     deg|      deg|       |       |
 map_500_Gaussians_2       10    0.00302  0.819    0.077   0.00002     2  0.188    0.000 -14809.64  0.061  0.056   34.7      1 279.43743 -31.66271 84.70971 -69.07852       0       1 
 map_500_Gaussians_2       11    0.00265  0.341    0.047  -0.00008     2  0.576    0.000 -24723.32  0.043  0.043  -90.0      1 279.43749 -31.66322 84.70826 -69.07851       0       1 
 map_500_Gaussians_2       12    0.00201  0.476    0.046  -0.00018     0  0.746    0.000 -22555.98  0.043  0.071   42.0      1 279.43728 -31.66169 84.71259 -69.07851       0       1 
 map_500_Gaussians_2       13    0.00288  0.357    0.051  -0.00000     2  0.314    0.000 -11850.69  0.043  0.043   90.0      1 279.43730 -31.66197 84.71178 -69.07850       0       1 
 map_500_Gaussians_2       14    0.00401  0.604    0.076   0.00002     2  0.199    0.000 -12890.23  0.043  0.048   43.7      1 279.43736 -31.66274 84.70962 -69.07846       0       1 
 map_500_Gaussians_2       15    0.00269  0.430    0.056   0.00008     2  0.372    0.000 -10667.35  0.045  0.069  -44.8      1 279.43721 -31.66163 84.71276 -69.07846       0       1 
 map_500_Gaussians_2       16    0.00256  0.406    0.049  -0.00005     2  0.455    0.000 -13049.53  0.057  0.043   39.8      1 279.43738 -31.66290 84.70919 -69.07845       0       1 
 map_500_Gaussians_2       17    0.00251  0.359    0.047  -0.00005     1  0.504    0.000 -13736.66  0.043  0.055   45.6      1 279.43729 -31.66248 84.71036 -69.07843       0       1 
 map_500_Gaussians_2       18    0.00385  0.682    0.078   0.00017     2  0.201    0.000 -12892.30  0.043  0.060   44.6      1 279.43731 -31.66269 84.70980 -69.07842       0       1 
 map_500_Gaussians_2       19    0.00420  1.158    0.109  -0.00002     2  0.121    0.000  -9344.93  0.086  0.054   44.7      1 279.43737 -31.66332 84.70802 -69.07840       0       1 
 map_500_Gaussians_2       20    0.00295  0.431    0.055   0.00003     2  0.366    0.000 -14834.70  0.054  0.043   43.7      1 279.43719 -31.66203 84.71166 -69.07839       0       1 
 map_500_Gaussians_2       21    0.00285  0.987    0.085  -0.00021     2  0.147    0.000 -11877.38  0.079  0.057   38.9      1 279.43721 -31.66218 84.71124 -69.07839       0       1 
 map_500_Gaussians_2       22    0.00186  0.238    0.040  -0.00006     2  0.630    0.000 -11609.80  0.050  0.078  -43.1      1 279.43729 -31.66290 84.70922 -69.07838       0       1 
 map_500_Gaussians_2       23    0.00148  0.140    0.032   0.00011     2  0.936    0.000 -13963.09  0.086  0.086  -90.0      1 279.43709 -31.66149 84.71319 -69.07837       0       1 
 map_500_Gaussians_2       24    0.00260  0.659    0.063  -0.00007     2  0.266    0.000 -12084.26  0.077  0.043   44.4      1 279.43720 -31.66227 84.71098 -69.07837       0       1 
 map_500_Gaussians_2       25    0.00322  0.744    0.075  -0.00012     2  0.377    0.000 -17867.34  0.053  0.055  -52.0      1 279.43724 -31.66298 84.70899 -69.07833       0       1 
 map_500_Gaussians_2       26    0.00390  0.943    0.092  -0.00002     2  0.143    0.000 -13424.67  0.050  0.061  -44.9      1 279.43731 -31.66351 84.70751 -69.07833       0       1 
 map_500_Gaussians_2       27    0.00249  0.459    0.054  -0.00004     1  0.492    0.000 -24304.81  0.057  0.043   48.3      1 279.43721 -31.66279 84.70952 -69.07833       0       1 
 map_500_Gaussians_2       28    0.00159  0.270    0.035   0.00005     2  0.755    0.000 -18408.43  0.056  0.043  -49.4      1 279.43715 -31.66248 84.71043 -69.07831       0       1 
 map_500_Gaussians_2       29    0.00301  0.745    0.072  -0.00007     2  0.175    0.000 -13915.92  0.049  0.065   41.8      1 279.43706 -31.66184 84.71223 -69.07830       0       1 
 map_500_Gaussians_2       30    0.00393  0.651    0.078   0.00004     2  0.202    0.000 -16318.35  0.045  0.047   -9.9      1 279.43707 -31.66213 84.71141 -69.07828       0       1 
 map_500_Gaussians_2       31    0.00237  0.589    0.057  -0.00008     1  0.605    0.000 -23343.63  0.068  0.045   40.6      1 279.43709 -31.66230 84.71093 -69.07828       0       1 
 map_500_Gaussians_2       32    0.00243  0.354    0.044  -0.00004     2  0.303    0.000 -12588.31  0.043  0.046   23.2      1 279.43722 -31.66329 84.70813 -69.07828       0       1 
 map_500_Gaussians_2       33    0.00383  0.696    0.081  -0.00009     2  0.155    0.000 -13320.82  0.043  0.058   44.5      1 279.43696 -31.66143 84.71338 -69.07827       0       1 
 map_500_Gaussians_2       34    0.00363  0.529    0.067  -0.00013     2  0.268    0.000 -10308.92  0.043  0.043  -90.0      1 279.43711 -31.66261 84.71006 -69.07826       0       1 
 map_500_Gaussians_2       35    0.00348  0.738    0.077   0.00002     2  0.117    0.000 -12661.88  0.051  0.053   20.1      1 279.43707 -31.66240 84.71067 -69.07825       0       1 
 map_500_Gaussians_2       36    0.00271  0.472    0.051  -0.00011     2  0.381    0.000 -11540.03  0.048  0.047  -32.1      1 279.43697 -31.66171 84.71262 -69.07824       0       1 
 map_500_Gaussians_2       37    0.00211  0.597    0.053   0.00005     2  0.280    0.000 -15955.94  0.053  0.065   35.9      1 279.43701 -31.66209 84.71152 -69.07823       0       1 
 map_500_Gaussians_2       38    0.00317  0.521    0.064   0.00016     2  0.273    0.000 -12343.81  0.050  0.043  -42.6      1 279.43697 -31.66192 84.71203 -69.07822       0       1 
 map_500_Gaussians_2       39    0.00265  0.473    0.052  -0.00012     0  0.594    0.000 -19582.28  0.057  0.043   48.3      1 279.43712 -31.66308 84.70875 -69.07821       0       1 
 map_500_Gaussians_2       40    0.00271  0.821    0.076  -0.00009     2  0.209    0.000 -13764.45  0.048  0.086  -44.0      1 279.43716 -31.66339 84.70787 -69.07821       0       1 
 map_500_Gaussians_2       41    0.00273  0.384    0.059   0.00011     2  0.351    0.000 -11547.90  0.043  0.055   46.0      1 279.43689 -31.66142 84.71343 -69.07821       0       1 
 map_500_Gaussians_2       42    0.00306  0.368    0.056  -0.00003     1  0.634    0.000 -18967.50  0.048  0.043   43.2      1 279.43697 -31.66202 84.71175 -69.07821       0       1 
 map_500_Gaussians_2       43    0.00274  0.655    0.061  -0.00015     2  0.542    0.000 -17399.13  0.064  0.046   41.5      1 279.43700 -31.66224 84.71113 -69.07821       0       1 
 map_500_Gaussians_2       44    0.00156  0.201    0.027   0.00008     2  0.604    0.000 -12744.04  0.046  0.043   52.4      1 279.43709 -31.66297 84.70906 -69.07820       0       1 
 map_500_Gaussians_2       45    0.00319  0.836    0.082  -0.00024     2  0.223    0.000 -11325.48  0.071  0.050  -38.8      1 279.43692 -31.66173 84.71257 -69.07820       0       1 
 map_500_Gaussians_2       46    0.00281  0.902    0.081  -0.00001     2  0.114    0.000 -12199.95  0.072  0.055   33.6      1 279.43711 -31.66320 84.70841 -69.07819       0       1 
 map_500_Gaussians_2       47    0.00144  0.140    0.028   0.00004     2  0.808    0.000 -14117.88  0.053  0.043   45.7      1 279.43698 -31.66232 84.71091 -69.07818       0       1 
 map_500_Gaussians_2       48    0.00335  1.277    0.102  -0.00009     2  0.260    0.000 -16082.59  0.056  0.086  -44.6      1 279.43691 -31.66181 84.71233 -69.07818       0       1 
 map_500_Gaussians_2       49    0.00189  0.410    0.044   0.00004     2  0.443    0.000 -14044.20  0.050  0.057   47.4      1 279.43686 -31.66150 84.71323 -69.07817       0       1 
 map_500_Gaussians_2       50    0.00352  0.922    0.086  -0.00011     2  0.144    0.000 -13384.27  0.050  0.066   40.8      1 279.43700 -31.66260 84.71013 -69.07817       0       1 
 map_500_Gaussians_2       51    0.00258  0.567    0.060  -0.00009     2  0.206    0.000 -12261.74  0.054  0.052   57.9      1 279.43691 -31.66202 84.71177 -69.07816       0       1 
 map_500_Gaussians_2       52    0.00210  0.747    0.062  -0.00011     2  0.235    0.000 -12295.96  0.085  0.051  -43.5      1 279.43686 -31.66166 84.71276 -69.07815       0       1 
 map_500_Gaussians_2       53    0.00252  0.569    0.057  -0.00017     2  0.326    0.000 -14338.17  0.063  0.046  -40.9      1 279.43692 -31.66239 84.71073 -69.07813       0       1 
 map_500_Gaussians_2       54    0.00341  0.498    0.063   0.00004     2  0.358    0.000 -14346.35  0.047  0.043   44.1      1 279.43702 -31.66317 84.70853 -69.07812       0       1 
 map_500_Gaussians_2       55    0.00364  0.624    0.078  -0.00013     2  0.216    0.000 -13771.53  0.053  0.043  -46.4      1 279.43697 -31.66279 84.70959 -69.07812       0       1 
 map_500_Gaussians_2       56    0.00228  0.533    0.051  -0.00015     2  0.402    0.000 -12083.55  0.073  0.043   44.3      1 279.43682 -31.66183 84.71231 -69.07811       0       1 
 map_500_Gaussians_2       57    0.00180  0.549    0.050   0.00014     2  0.559    0.000 -14852.63  0.061  0.064   90.0      1 279.43693 -31.66267 84.70995 -69.07810       0       1 
 map_500_Gaussians_2       58    0.00240  0.495    0.054  -0.00021     2  0.361    0.000 -12397.43  0.059  0.046  -40.2      1 279.43681 -31.66193 84.71204 -69.07809       0       1 
 map_500_Gaussians_2       59    0.00152  0.468    0.043  -0.00019     2  0.545    0.000 -11905.49  0.051  0.082  -38.0      1 279.43684 -31.66219 84.71129 -69.07808       0       1 
 map_500_Gaussians_2       60    0.00178  0.343    0.039   0.00004     2  0.738    0.000 -21169.56  0.049  0.051  -21.4      1 279.43676 -31.66161 84.71293 -69.07808       0       1 
 map_500_Gaussians_2       61    0.00264  0.593    0.058   0.00004     2  0.230    0.000 -13863.17  0.062  0.045  -37.3      1 279.43695 -31.66310 84.70874 -69.07807       0       1 
 map_500_Gaussians_2       62    0.00207  0.606    0.054  -0.00003     2  0.250    0.000 -13925.57  0.049  0.078  -40.4      1 279.43693 -31.66304 84.70892 -69.07806       0       1 
 map_500_Gaussians_2       63    0.00317  0.466    0.057   0.00002     0  0.479    0.000 -24653.90  0.043  0.045   41.2      1 279.43697 -31.66337 84.70798 -69.07805       0       1 
 map_500_Gaussians_2       64    0.00296  0.680    0.068   0.00005     2  0.219    0.000 -11207.55  0.073  0.043  -43.1      1 279.43669 -31.66144 84.71344 -69.07804       0       1 
 map_500_Gaussians_2       65    0.00402  0.728    0.080   0.00003     2  0.416    0.001 -13850.36  0.056  0.043  -44.5      1 279.43687 -31.66283 84.70951 -69.07803       0       1 
 map_500_Gaussians_2       66    0.00312  0.510    0.067  -0.00004     1  0.577    0.000 -19529.41  0.051  0.048   90.0      1 279.43678 -31.66245 84.71060 -69.07800       0       1 
 map_500_Gaussians_2       67    0.00174  0.216    0.033  -0.00008     2  0.550    0.000 -12381.66  0.044  0.043   44.9      1 279.43689 -31.66331 84.70819 -69.07799       0       1 
 map_500_Gaussians_2       68    0.00358  0.852    0.084   0.00001     2  0.158    0.000 -11566.25  0.050  0.059  -42.4      1 279.43691 -31.66352 84.70757 -69.07799       0       1 
 map_500_Gaussians_2       69    0.00202  0.312    0.038   0.00003     2  0.492    0.000 -12277.65  0.043  0.053  -50.5      1 279.43666 -31.66171 84.71270 -69.07798       0       1 
 map_500_Gaussians_2       70    0.00390  0.874    0.089  -0.00027     2  0.137    0.000 -12342.13  0.052  0.053   62.7      1 279.43670 -31.66202 84.71182 -69.07798       0       1 
 map_500_Gaussians_2       71    0.00323  0.375    0.056   0.00006     2  0.426    0.000 -12769.83  0.043  0.043   90.0      1 279.43673 -31.66223 84.71121 -69.07798       0       1 
 map_500_Gaussians_2       72    0.00373  0.875    0.088  -0.00006     2  0.214    0.000 -14211.36  0.043  0.069  -43.5      1 279.43690 -31.66359 84.70739 -69.07797       0       1 
 map_500_Gaussians_2       73    0.00202  0.542    0.052   0.00001     2  0.431    0.000 -15515.92  0.072  0.051   40.1      1 279.43668 -31.66194 84.71203 -69.07797       0       1 
 map_500_Gaussians_2       74    0.00280  0.457    0.058   0.00002     2  0.318    0.000 -12003.70  0.061  0.043   40.6      1 279.43674 -31.66254 84.71036 -69.07796       0       1 
 map_500_Gaussians_2       75    0.00358  1.004    0.093  -0.00005     2  0.174    0.000 -13733.02  0.050  0.086  -43.1      1 279.43679 -31.66321 84.70848 -69.07792       0       1 
 map_500_Gaussians_2       76    0.00254  0.490    0.053  -0.00012     2  0.260    0.000 -11201.94  0.043  0.060   38.8      1 279.43671 -31.66266 84.71004 -69.07792       0       1 
 map_500_Gaussians_2       77    0.00197  0.418    0.044   0.00005     2  0.363    0.000 -12442.94  0.058  0.046  -49.8      1 279.43676 -31.66304 84.70895 -69.07791       0       1 
 map_500_Gaussians_2       78    0.00382  0.772    0.083   0.00009     2  0.372    0.000 -21489.52  0.054  0.046   35.9      1 279.43663 -31.66215 84.71147 -69.07790       0       1 
 map_500_Gaussians_2       79    0.00223  0.298    0.042  -0.00008     2  0.835    0.001 -14751.07  0.043  0.049   43.3      1 279.43664 -31.66233 84.71097 -69.07790       0       1 
 map_500_Gaussians_2       80    0.00270  0.749    0.068  -0.00013     2  0.256    0.000 -24961.94  0.044  0.079   45.1      1 279.43671 -31.66284 84.70952 -69.07789       0       1 
 map_500_Gaussians_2       81    0.00280  0.644    0.067   0.00003     0  0.468    0.000 -21445.09  0.043  0.069   43.4      1 279.43678 -31.66342 84.70790 -69.07789       0       1 
 map_500_Gaussians_2       82    0.00257  0.771    0.070  -0.00019     2  0.448    0.000 -22946.37  0.065  0.059   42.4      1 279.43653 -31.66166 84.71286 -69.07788       0       1 
 map_500_Gaussians_2       83    0.00175  0.429    0.043   0.00002     2  0.360    0.000 -12845.13  0.045  0.074  -42.7      1 279.43655 -31.66182 84.71242 -69.07788       0       1 
 map_500_Gaussians_2       84    0.00292  0.588    0.064  -0.00002     2  0.455    0.000 -21435.86  0.054  0.049  -19.3      1 279.43651 -31.66153 84.71322 -69.07787       0       1 
 map_500_Gaussians_2       85    0.00328  0.431    0.061  -0.00006     1  0.497    0.000 -23422.17  0.043  0.048  -44.0      1 279.43656 -31.66197 84.71198 -69.07787       0       1 
 map_500_Gaussians_2       86    0.00288  0.764    0.072  -0.00018     2  0.195    0.000 -11930.14  0.075  0.046  -43.8      1 279.43649 -31.66163 84.71295 -69.07784       0       1 
 map_500_Gaussians_2       87    0.00384  0.919    0.092  -0.00014     2  0.074    0.000 -12258.04  0.048  0.065   41.7      1 279.43660 -31.66274 84.70985 -69.07782       0       1 
 map_500_Gaussians_2       88    0.00319  0.835    0.082  -0.00007     2  0.235    0.000 -16182.05  0.051  0.069   34.3      1 279.43638 -31.66147 84.71342 -69.07777       0       1 
 map_500_Gaussians_2       89    0.00244  0.812    0.071  -0.00008     2  0.235    0.000 -13814.79  0.070  0.063  -34.8      1 279.43656 -31.66285 84.70954 -69.07776       0       1 
 map_500_Gaussians_2       90    0.00236  0.414    0.049   0.00007     2  0.254    0.000 -13033.55  0.046  0.049  -37.3      1 279.43661 -31.66320 84.70855 -69.07777       0       1 
 map_500_Gaussians_2       91    0.00242  0.415    0.050  -0.00009     2  0.566    0.000 -12097.97  0.058  0.043  -41.8      1 279.43664 -31.66347 84.70781 -69.07776       0       1 
 map_500_Gaussians_2       92    0.00302  0.882    0.079   0.00007     2  0.122    0.000 -14075.75  0.057  0.064  -36.3      1 279.43647 -31.66226 84.71121 -69.07776       0       1 
 map_500_Gaussians_2       93    0.00147  0.391    0.040  -0.00008     2  0.474    0.000 -12697.17  0.051  0.069   43.7      1 279.43665 -31.66361 84.70741 -69.07776       0       1 
 map_500_Gaussians_2       94    0.00321  1.018    0.086  -0.00030     2  0.129    0.000 -11986.29  0.052  0.078   44.9      1 279.43648 -31.66238 84.71087 -69.07775       0       1 
 map_500_Gaussians_2       95    0.00376  1.279    0.108  -0.00003     2  0.073    0.000 -10896.42  0.059  0.071   37.5      1 279.43651 -31.66279 84.70972 -69.07774       0       1 
 map_500_Gaussians_2       96    0.00377  1.036    0.097  -0.00009     2  0.108    0.000 -11117.68  0.058  0.062  -47.4      1 279.43658 -31.66331 84.70826 -69.07774       0       1 
 map_500_Gaussians_2       97    0.00341  0.668    0.076   0.00016     2  0.217    0.000 -13188.99  0.068  0.043   44.1      1 279.43640 -31.66215 84.71155 -69.07771       0       1 
 map_500_Gaussians_2       98    0.00279  0.512    0.058  -0.00004     2  0.431    0.000 -11382.19  0.045  0.062  -51.4      1 279.43656 -31.66343 84.70793 -69.07771       0       1 
 map_500_Gaussians_2       99    0.00186  0.547    0.049   0.00003     2  0.407    0.000 -15616.36  0.058  0.067  -41.8      1 279.43644 -31.66263 84.71020 -69.07770       0       1 
 map_500_Gaussians_2      100    0.00347  0.419    0.062  -0.00001     1  0.610    0.000 -20986.91  0.043  0.051   44.2      1 279.43650 -31.66318 84.70864 -69.07768       0       1 
 map_500_Gaussians_2      101    0.00269  0.292    0.044  -0.00006     2  0.600    0.000 -16492.82  0.043  0.043  -90.0      1 279.43643 -31.66277 84.70980 -69.07767       0       1 
 map_500_Gaussians_2      102    0.00177  0.509    0.051  -0.00013     2  0.312    0.000 -12043.63  0.062  0.061   13.0      1 279.43627 -31.66163 84.71302 -69.07766       0       1 
 map_500_Gaussians_2      103    0.00203  0.227    0.035   0.00012     2  0.715    0.000 -13264.26  0.043  0.043   89.0      1 279.43640 -31.66257 84.71036 -69.07766       0       1 
 map_500_Gaussians_2      104    0.00387  1.039    0.093   0.00007     0  0.336    0.000 -19448.72  0.075  0.046   44.2      1 279.43637 -31.66236 84.71095 -69.07766       0       1 
 map_500_Gaussians_2      105    0.00263  0.319    0.047   0.00011     2  0.662    0.001 -12131.67  0.043  0.043  -90.0      1 279.43633 -31.66211 84.71167 -69.07766       0       1 
 map_500_Gaussians_2      106    0.00346  0.706    0.076   0.00001     2  0.187    0.000 -12070.25  0.043  0.064   44.1      1 279.43624 -31.66155 84.71323 -69.07764       0       1 
 map_500_Gaussians_2      107    0.00169  0.236    0.034   0.00009     2  0.757    0.000 -10573.03  0.053  0.043  -47.8      1 279.43650 -31.66350 84.70776 -69.07765       0       1 
 map_500_Gaussians_2      108    0.00247  0.530    0.057   0.00007     2  0.376    0.000 -17418.71  0.052  0.050   -5.6      1 279.43639 -31.66269 84.71003 -69.07764       0       1 
 map_500_Gaussians_2      109    0.00361  0.615    0.074   0.00029     2  0.400    0.000 -13286.65  0.046  0.057  -47.3      1 279.43641 -31.66298 84.70923 -69.07763       0       1 
 map_500_Gaussians_2      110    0.00329  0.574    0.068  -0.00023     2  0.471    0.000 -14215.05  0.062  0.043  -44.2      1 279.43643 -31.66314 84.70878 -69.07762       0       1 
 map_500_Gaussians_2      111    0.00308  0.387    0.070  -0.00009     2  0.700    0.000 -17101.09  0.053  0.086  -41.7      1 279.43641 -31.66304 84.70905 -69.07762       0       1 
 map_500_Gaussians_2      112    0.00296  0.331    0.052   0.00001     2  0.603    0.000 -14867.81  0.043  0.043  -90.0      1 279.43623 -31.66190 84.71227 -69.07760       0       1 
 map_500_Gaussians_2      113    0.00211  0.223    0.036   0.00013     2  0.588    0.000 -10657.56  0.043  0.043   89.9      1 279.43626 -31.66213 84.71164 -69.07759       0       1 
 map_500_Gaussians_2      114    0.00307  0.378    0.055  -0.00002     2  0.355    0.000 -12136.86  0.043  0.043  -90.0      1 279.43630 -31.66242 84.71081 -69.07760       0       1 
 map_500_Gaussians_2      115    0.00260  0.399    0.052   0.00008     2  0.254    0.000 -12713.14  0.043  0.050   50.1      1 279.43626 -31.66232 84.71109 -69.07758       0       1 
 map_500_Gaussians_2      116    0.00397  1.338    0.112   0.00000     2  0.084    0.000 -11330.26  0.085  0.052   44.9      1 279.43637 -31.66313 84.70881 -69.07757       0       1 
 map_500_Gaussians_2      117    0.00296  0.630    0.066  -0.00009     2  0.466    0.001  -8625.18  0.058  0.047   43.5      1 279.43634 -31.66303 84.70911 -69.07756       0       1 
 map_500_Gaussians_2      118    0.00389  0.556    0.070  -0.00001     2  0.320    0.000 -10906.71  0.055  0.043  -46.8      1 279.43639 -31.66345 84.70792 -69.07756       0       1 
 map_500_Gaussians_2      119    0.00245  0.482    0.054  -0.00002     2  0.245    0.000 -12681.61  0.043  0.064  -46.6      1 279.43628 -31.66267 84.71012 -69.07755       0       1 
 map_500_Gaussians_2      120    0.00195  0.265    0.034   0.00006     2  0.402    0.000 -13172.51  0.043  0.043  -89.9      1 279.43637 -31.66355 84.70765 -69.07753       0       1 
 map_500_Gaussians_2      121    0.00144  0.182    0.027   0.00006     2  0.624    0.000 -14321.10  0.043  0.043  -89.9      1 279.43624 -31.66260 84.71034 -69.07752       0       1 
 map_500_Gaussians_2      122    0.00203  0.573    0.054  -0.00028     2  0.345    0.000 -15739.49  0.059  0.063  -51.1      1 279.43621 -31.66250 84.71061 -69.07751       0       1 
 map_500_Gaussians_2      123    0.00355  0.651    0.074   0.00001     2  0.196    0.000 -12470.75  0.045  0.050  -37.1      1 279.43625 -31.66284 84.70965 -69.07751       0       1 
 map_500_Gaussians_2      124    0.00173  0.217    0.031  -0.00017     2  0.724    0.000 -11372.20  0.043  0.043  -90.0      1 279.43613 -31.66209 84.71178 -69.07749       0       1 
 map_500_Gaussians_2      125    0.00196  0.205    0.035   0.00005     2  0.736    0.000 -15767.85  0.043  0.043  -90.0      1 279.43631 -31.66341 84.70806 -69.07749       0       1 
 map_500_Gaussians_2      126    0.00171  0.239    0.032   0.00019     2  0.590    0.000 -12367.77  0.045  0.045   55.8      1 279.43605 -31.66160 84.71315 -69.07748       0       1 
 map_500_Gaussians_2      127    0.00290  0.519    0.063  -0.00007     2  0.445    0.000 -14717.23  0.050  0.083  -43.1      1 279.43615 -31.66233 84.71109 -69.07748       0       1 
 map_500_Gaussians_2      128    0.00223  0.731    0.063   0.00003     2  0.170    0.000 -13081.75  0.079  0.053  -42.0      1 279.43631 -31.66361 84.70751 -69.07747       0       1 
 map_500_Gaussians_2      129    0.00246  0.704    0.065  -0.00000     2  0.199    0.000 -12061.77  0.048  0.082   43.7      1 279.43603 -31.66170 84.71289 -69.07745       0       1 
 map_500_Gaussians_2      130    0.00279  0.410    0.054   0.00002     2  0.494    0.000 -16747.77  0.049  0.043   45.5      1 279.43603 -31.66178 84.71266 -69.07744       0       1 
 map_500_Gaussians_2      131    0.00250  0.574    0.061  -0.00016     2  0.577    0.000 -16949.02  0.052  0.060  -35.4      1 279.43621 -31.66308 84.70899 -69.07745       0       1 
 map_500_Gaussians_2      132    0.00373  0.785    0.085  -0.00013     1  0.325    0.000 -24393.54  0.044  0.063  -42.5      1 279.43606 -31.66196 84.71215 -69.07744       0       1 
 map_500_Gaussians_2      133    0.00386  0.435    0.064   0.00011     2  0.286    0.000 -10359.78  0.046  0.043  -47.2      1 279.43605 -31.66215 84.71164 -69.07742       0       1 
