2025-09-04 10:30:34 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:35:18 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:37:55 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:38:19 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:40:38 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:41:27 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:41:32 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:41:52 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:41:56 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:42:01 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:44:45 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


2025-09-04 10:44:57 - WARNING - 404 Not Found: /.well-known/appspecific/com.chrome.devtools.json - IP: 127.0.0.1, OS: Windows, URL: /.well-known/appspecific/com.chrome.devtools.json, Method: GET | Query Params: {} | Path Params: {} | Body:  | JSON: {}


