|INDEX|HYPER_ID_PY|HYPER_ID_IDL|PEAK_REF_mJy|PEAK_PY_mJy|PEAK_IDL_mJy|INT_REF_mJy|INT_PY_mJy|INT_IDL_mJy|D_PEAK_PY_pct|D_PEAK_IDL_pct|D_INT_PY_pct|D_INT_IDL_pct|
| long|       long|        long|      double|     double|      double|     double|    double|     double|        float|         float|       float|        float|
    39         282          405         22.4        25.4         25.1       514.2      739.0       626.5          13.6           12.1         43.7          21.8 
    40         119           94         49.7        44.5         46.8      1037.4      862.0       963.9         -10.5           -5.9        -16.9          -7.1 
    41         207          365         29.4        26.3         28.1       396.8      314.0       395.9         -10.6           -4.5        -20.9          -0.2 
    42         305          346         30.2        29.3         29.8       289.5      246.0       263.5          -3.2           -1.4        -15.0          -9.0 
    43         329          423         24.7        22.0         18.5       393.1      470.0       403.9         -11.1          -25.1         19.6           2.7 
    44          76          239         41.1        36.5         37.5       611.5      553.0       580.9         -11.2           -8.8         -9.6          -5.0 
    45         357          322         30.3        30.3         30.8       683.0      582.0       570.5          -0.2            1.6        -14.8         -16.5 
    46         222          407         23.0        25.9         26.0       393.4      455.0       447.6          12.7           13.0         15.7          13.8 
    47           1          482         21.2        22.0         22.3       514.4      580.0       595.3           3.8            5.4         12.7          15.7 
    48         438          334         34.4        31.0         33.3       354.6      251.0       317.8          -9.9           -3.3        -29.2         -10.4 
    49         281          105         42.0        43.3         42.6       489.8      512.0       467.7           3.1            1.4          4.5          -4.5 
    50         125           78         45.8        44.9         44.6       725.0      763.0       736.3          -1.9           -2.6          5.2           1.6 
    51         180          396         28.8        26.6         28.2       512.0      386.0       432.0          -7.7           -2.0        -24.6         -15.6 
    52         241          257         37.2        34.5         34.9       338.9      385.0       393.8          -7.3           -6.2         13.6          16.2 
    53         194          110         45.4        44.7         45.2      1155.4      932.0       947.6          -1.6           -0.5        -19.3         -18.0 
    54         293          149         39.5        39.3         39.0      1081.1     1196.0      1202.2          -0.3           -1.2         10.6          11.2 
    55         382          194         41.0        36.2         36.7       778.8      784.0       761.6         -11.6          -10.4          0.7          -2.2 
    56         164           67         46.4        44.4         44.4       775.1      824.0       818.8          -4.2           -4.2          6.3           5.6 
    57         225          104         46.7        43.2         43.7      1181.6     1085.0      1092.1          -7.5           -6.4         -8.2          -7.6 
    58          65          351         30.6        28.3         28.6       448.0      386.0       392.2          -7.4           -6.4        -13.8         -12.4 
    59         102          251         39.3        36.5         37.1       396.4      385.0       405.6          -7.1           -5.5         -2.9           2.3 
    60         265          342         25.4        27.2         26.7       314.4      400.0       360.8           7.1            5.3         27.2          14.7 
    61          25          339         36.0        31.3         31.8       298.7      294.0       305.9         -13.2          -11.8         -1.6           2.4 
    62         122          169         41.2        36.6         36.9       847.0      654.0       659.3         -11.1          -10.4        -22.8         -22.2 
    63          98           77         47.2        45.0         46.0       827.5      825.0       874.0          -4.5           -2.5         -0.3           5.6 
    64          79          193         38.6        36.6         37.4       507.7      470.0       493.2          -5.3           -3.2         -7.4          -2.9 
    65         107          173         38.7        37.5         39.6       748.7      693.0       780.2          -3.1            2.4         -7.4           4.2 
    66         310          187         42.7        36.6         36.6       362.2      376.0       352.8         -14.3          -14.3          3.8          -2.6 
    67         211          397         29.3        28.0         28.2       517.2      483.0       487.2          -4.2           -3.7         -6.6          -5.8 
    68          80            5         44.8        48.1         49.3       522.8      782.0       816.0           7.6           10.1         49.6          56.1 
    69         360          319         30.8        30.5         31.7       633.6      532.0       574.1          -1.0            2.8        -16.0          -9.4 
    70         285          364         32.3        28.0         31.4       391.1      247.0       367.8         -13.2           -2.8        -36.8          -5.9 
    71          11          487         23.5        18.2         19.4       532.5      345.0       401.8         -22.2          -17.3        -35.2         -24.5 
    72         431          225         40.0        35.6         36.1       320.3      390.0       407.0         -11.0           -9.8         21.8          27.1 
    73         178          470         24.7        20.6         21.3       420.6      372.0       406.0         -16.7          -13.8        -11.6          -3.5 
    74         324          308         29.1        31.1         31.3       445.8      600.0       688.5           7.2            7.7         34.6          54.4 
    75         491           58         50.4        45.5         48.3       697.7      534.0       603.7          -9.6           -4.1        -23.5         -13.5 
    76         368           68         40.9        43.4         43.7       704.1      901.0       879.4           6.3            7.0         28.0          24.9 
    77          61          321         33.6        31.4         32.5       557.9      554.0       618.9          -6.7           -3.4         -0.7          10.9 
    78         135          139         42.7        42.2         43.1       791.2      813.0       827.5          -1.2            0.9          2.8           4.6 
    79          24          317         30.7        27.0         27.7       263.5      260.0       279.0         -11.8           -9.7         -1.3           5.9 
    80         143          435         22.4        23.8         22.4       178.4      226.0       184.1           6.2           -0.1         26.7           3.2 
    81          35           46         46.1        46.9         47.5       653.7      671.0       695.0           1.8            3.1          2.7           6.3 
    82         202          115         48.5        41.9         42.4       486.5      452.0       461.3         -13.5          -12.5         -7.1          -5.2 
    83          51          247         34.0        34.4         35.3       869.7      965.0      1061.4           1.0            3.7         11.0          22.0 
    84          91          250         34.3        34.9         35.7       615.2      558.0       588.1           1.5            4.0         -9.3          -4.4 
    85         451          480         24.1        20.6         21.7       553.5      303.0       323.8         -14.4           -9.8        -45.3         -41.5 
    86         388          429         28.6        23.3         25.8       445.9      306.0       378.4         -18.4           -9.7        -31.4         -15.1 
    87         140           25         47.5        49.5         50.2       616.4      605.0       628.5           4.2            5.7         -1.9           2.0 
    88         120           99         50.9        43.8         42.7       445.4      531.0       477.0         -14.0          -16.2         19.2           7.1 
    89         215          357         28.5        28.3         28.5       753.5      725.0       730.2          -0.8           -0.0         -3.8          -3.1 
    90         346          383         29.6        26.3         28.3       271.9      234.0       388.4         -11.0           -4.3        -13.9          42.8 
    91         152          103         44.4        42.6         43.8      1018.1      914.0       954.5          -4.1           -1.4        -10.2          -6.2 
    92         146           30         44.6        45.8         45.7       508.4      620.0       592.3           2.7            2.6         21.9          16.5 
    93         429          175         38.5        36.9         37.5       584.4      587.0       671.9          -4.3           -2.6          0.4          15.0 
    94          22           33         50.5        49.0         48.6       925.4      847.0       809.3          -3.0           -3.8         -8.5         -12.5 
    95         131          127         47.1        43.8         44.8       692.4      577.0       596.6          -7.0           -4.8        -16.7         -13.8 
    96         372          220         35.8        34.2         35.8       605.4      492.0       625.9          -4.4           -0.1        -18.7           3.4 
    97         494          445         24.4        22.3         23.7       391.9      301.0       345.4          -8.3           -2.7        -23.2         -11.9 
    98         168          483         21.1        21.8         22.4       559.6      506.0       532.8           3.5            6.2         -9.6          -4.8 
    99         424          306         30.4        33.1         33.9       503.2      559.0       537.8           9.0           11.5         11.1           6.9 
   100         283          111         46.6        42.7         44.4       966.1      816.0       882.6          -8.4           -4.7        -15.5          -8.6 
   101          78          418         27.3        25.9         26.5       310.2      281.0       302.9          -5.1           -3.0         -9.4          -2.3 
   102         231          107         45.7        44.0         46.8       690.2      616.0       674.9          -3.7            2.3        -10.7          -2.2 
   103         245          415         28.6        24.1         26.0       734.6      414.0       427.8         -15.8           -9.0        -43.6         -41.8 
   104          87          106         44.0        43.4         44.5       920.1     1019.0       977.6          -1.4            1.1         10.7           6.2 
   105         199          146         38.1        38.7         39.0       805.3      805.0       827.0           1.6            2.3         -0.0           2.7 
   106         347          385         28.2        24.7         25.5       776.9      626.0       638.4         -12.6           -9.7        -19.4         -17.8 
   107         266          314         29.9        31.4         31.3       578.0      660.0       551.5           5.1            4.8         14.2          -4.6 
   108          82          148         40.3        39.7         40.2       455.6      462.0       465.7          -1.4           -0.2          1.4           2.2 
   109          70          167         41.3        38.2         39.5       566.6      493.0       524.7          -7.5           -4.4        -13.0          -7.4 
   110          52           69         43.4        42.2         42.1       473.0      491.0       494.2          -2.9           -3.1          3.8           4.5 
   111         169          406         28.7        26.6         26.4       508.2      570.0       497.0          -7.6           -8.2         12.2          -2.2 
   112          90          367         24.8        25.8         24.6       348.0      464.0       398.8           4.0           -0.9         33.3          14.6 
   113         158          338         29.2        27.4         28.0       518.2      518.0       536.3          -6.2           -4.2         -0.0           3.5 
   114         395          441         28.5        26.4         27.3       702.5      556.0       603.9          -7.3           -4.3        -20.9         -14.0 
   115         205          323         30.3        29.0         29.4       631.2      533.0       558.7          -4.1           -2.9        -15.6         -11.5 
   116         106          305         34.1        32.0         32.4       501.6      500.0       530.4          -6.0           -4.9         -0.3           5.7 
   117         114          202         39.0        37.2         39.1       833.4      751.0       855.4          -4.7            0.2         -9.9           2.6 
   118         198          461         24.4        21.2         22.6       443.4      391.0       470.7         -13.0           -7.3        -11.8           6.2 
   119         208           15         51.4        50.4         51.9       485.7      521.0       572.7          -2.1            0.9          7.3          17.9 
   120          21           88         46.6        42.3         43.4       848.7      749.0       797.3          -9.1           -6.8        -11.7          -6.1 
   121         472          465         26.9        22.2         23.6       585.0      386.0       397.2         -17.3          -12.1        -34.0         -32.1 
   122         302          484         21.0        19.7         21.7       237.3      176.0       252.3          -5.9            3.5        -25.8           6.3 
   123         272           51         41.0        46.3         47.3       856.9     1181.0      1337.5          13.0           15.5         37.8          56.1 
   124         393          304         30.2        31.0         32.2       799.1      858.0       916.6           2.9            6.8          7.4          14.7 
   125         303           62         46.5        46.2         45.8       370.0      439.0       422.1          -0.8           -1.6         18.6          14.1 
   126         483          369         25.2        29.5         26.8       209.7      494.0       318.8          17.4            6.5        135.6          52.0 
   127           9          456         23.1        21.2         22.0       436.1      431.0       476.3          -8.2           -4.8         -1.2           9.2 
   128         242          399         30.1        25.2         24.7       318.8      287.0       278.3         -16.3          -18.0        -10.0         -12.7 
   129           6          392         32.4        26.7         28.0       709.0      512.0       589.5         -17.8          -13.7        -27.8         -16.9 
   130         251          182         41.7        37.3         38.3       449.0      385.0       404.8         -10.4           -8.1        -14.3          -9.9 
   131         138          466         26.2        20.8         21.9       236.8      158.0       200.2         -20.5          -16.4        -33.3         -15.4 
   132         160          177         45.6        40.8         41.9      1028.1      929.0       984.1         -10.4           -8.0         -9.6          -4.3 
   133         197          447         25.4        23.6         24.7       440.9      339.0       378.7          -7.1           -2.7        -23.1         -14.1 
   134         238          489         21.7        19.6         20.9       336.6      260.0       293.1          -9.5           -3.6        -22.8         -12.9 
   135         116          420         20.7        21.6         21.5       351.0      358.0       349.6           4.3            3.9          2.0          -0.4 
   136         185           52         47.1        45.4         46.0       444.8      527.0       552.8          -3.6           -2.4         18.5          24.3 
   137         298          378         27.4        27.7         27.6       229.4      275.0       266.5           0.8            0.6         19.9          16.2 
   138         127          411         23.7        25.6         25.6       392.4      488.0       478.4           7.7            7.8         24.4          21.9 
   139          18          430         25.8        23.9         24.5       603.0      557.0       597.4          -7.3           -5.1         -7.6          -0.9 
   140         123          361         31.4        27.9         29.3       287.7      276.0       311.5         -11.0           -6.6         -4.1           8.3 
   141         186          170         40.3        37.2         38.3       872.5      807.0       847.9          -7.5           -4.8         -7.5          -2.8 
   142         134          398         23.3        23.5         24.0       618.4      716.0       755.1           0.7            3.0         15.8          22.1 
   143         136          219         35.8        36.4         37.1       902.1      846.0       881.6           1.7            3.8         -6.2          -2.3 
   144         319          203         35.0        34.9         34.3       852.4      860.0       805.9          -0.3           -1.9          0.9          -5.5 
   145           3          446         21.1        23.7         24.2       547.1      678.0       721.9          12.2           14.5         23.9          31.9 
   146          53          311         33.2        29.3         30.6       629.1      466.0       528.6         -11.9           -7.9        -25.9         -16.0 
   147         480          279         28.5        31.5         31.5       461.1      800.0       698.4          10.6           10.5         73.5          51.5 
   148         277          278         32.8        33.6         34.0       888.4      874.0       842.4           2.6            3.8         -1.6          -5.2 
   149         148           75         46.2        45.0         45.0       472.4      581.0       580.8          -2.5           -2.6         23.0          22.9 
   150         110          315         31.5        29.9         29.6       681.1      699.0       660.9          -5.0           -5.9          2.6          -3.0 
   151          40          119         43.4        42.6         42.2       563.7      676.0       658.7          -2.0           -2.8         19.9          16.9 
   152         104          124         41.8        41.9         42.4       447.3      468.0       460.3           0.2            1.3          4.6           2.9 
   153         351          155         43.1        39.8         40.5       812.1      741.0       740.4          -7.7           -6.1         -8.8          -8.8 
   154         441          300         30.5        30.8         26.7       423.3      589.0       373.7           1.0          -12.4         39.1         -11.7 
   155         275           28         48.8        49.0         49.5       859.5      766.0       744.4           0.3            1.3        -10.9         -13.4 
   156         343          476         21.7        19.5         19.6       332.6      235.0       237.8         -10.1           -9.6        -29.3         -28.5 
   157         182            7         51.5        51.4         52.5      1079.7     1048.0      1088.6          -0.3            1.9         -2.9           0.8 
   158         458          432         25.5        25.1         24.1       326.4      279.0       255.4          -1.8           -5.6        -14.5         -21.7 
   159         469           44         49.1        46.3         47.3      1285.1     1178.0      1191.7          -5.7           -3.6         -8.3          -7.3 
   160         201          214         39.5        34.7         35.7       695.0      579.0       616.9         -12.0           -9.6        -16.7         -11.2 
   161         306           49         49.7        47.1         48.0       711.7      713.0       691.9          -5.2           -3.5          0.2          -2.8 
   162          71           36         46.2        46.9         47.8       808.5      835.0       861.0           1.4            3.4          3.3           6.5 
   163          92           65         49.0        46.4         47.0       866.8      856.0       870.1          -5.3           -4.1         -1.3           0.4 
   164         485          281         30.4        31.1         30.8       389.9      493.0       468.1           2.5            1.4         26.4          20.1 
   165          17           87         48.4        45.0         45.9       578.4      502.0       517.8          -6.9           -5.1        -13.2         -10.5 
   166          41          218         35.1        33.6         34.6       907.2      913.0      1001.2          -4.2           -1.4          0.6          10.4 
   167         100          201         38.1        35.5         36.3       915.2      883.0       935.2          -6.9           -4.7         -3.5           2.2 
   168         108          142         36.8        38.1         38.1       570.5      669.0       672.1           3.5            3.5         17.3          17.8 
   169          89          162         41.4        41.3         41.9       351.7      329.0       347.1          -0.3            1.1         -6.4          -1.3 
   170         401           21         49.4        49.9         50.3      1272.3     1555.0      1550.3           0.9            1.8         22.2          21.9 
   171          75          376         26.2        26.9         27.4       644.8      612.0       626.9           2.8            4.6         -5.1          -2.8 
   172         257          386         22.5        25.7         24.0       364.8      558.0       432.1          14.1            6.7         53.0          18.5 
   173          56          256         29.7        32.5         32.8       599.8      855.0       877.5           9.6           10.6         42.5          46.3 
   174         212          362         24.3        26.4         26.2       218.2      256.0       252.4           8.8            7.9         17.3          15.7 
   175          31          400         30.3        25.1         25.5       240.7      198.0       219.0         -17.1          -15.7        -17.7          -9.0 
   176         224          301         36.0        32.1         33.0       352.2      428.0       456.1         -10.7           -8.3         21.5          29.5 
   177         147          283         32.8        30.2         30.9       437.2      363.0       382.5          -8.1           -5.9        -17.0         -12.5 
   178         358          457         24.7        22.2         22.3       505.1      447.0       442.0         -10.0           -9.6        -11.5         -12.5 
   179         467          100         41.7        43.4         43.1       970.0     1026.0       964.0           4.2            3.4          5.8          -0.6 
   180         342          332         35.2        31.9         32.8       367.3      259.0       294.5          -9.5           -6.9        -29.5         -19.8 
   181         353          467         21.2        20.8         20.7       200.0      206.0       214.7          -1.7           -2.4          3.0           7.3 
   182          60          373         27.6        29.0         29.1       663.3      727.0       744.6           5.2            5.4          9.6          12.3 
   183         484          486         22.3        18.5         19.7       191.2      166.0       219.2         -17.0          -11.5        -13.2          14.6 
   184          72          222         35.0        34.9         35.4       596.8      673.0       692.8          -0.4            1.1         12.8          16.1 
   185         174          269         32.3        37.3         38.2       307.5      501.0       411.9          15.6           18.2         62.9          33.9 
   186           2          267         34.3        31.1         32.1       823.1      747.0       793.8          -9.3           -6.5         -9.2          -3.6 
   187          12          330         25.5        29.2         29.1       358.8      453.0       400.3          14.4           14.1         26.2          11.6 
   188         190           50         47.2        44.8         46.5       482.1      481.0       537.7          -5.2           -1.6         -0.2          11.5 
   189          37          327         34.9        30.9         32.4       534.6      476.0       537.4         -11.5           -7.2        -11.0           0.5 
   190         167          286         26.2        30.2         29.1       260.8      437.0       333.7          15.1           11.1         67.6          28.0 
   191         228          451         26.1        23.2         23.1       451.5      338.0       313.2         -11.1          -11.5        -25.1         -30.6 
   192         139          313         31.9        27.9         29.4       732.7      588.0       675.3         -12.5           -7.8        -19.7          -7.8 
   193         223          434         24.2        22.7         23.0       534.0      490.0       494.6          -6.0           -4.8         -8.2          -7.4 
   194         159           43         48.0        46.4         46.7      1020.3      919.0       889.4          -3.4           -2.7         -9.9         -12.8 
   195         156          375         22.2        23.9         24.0       527.0      529.0       553.6           7.9            8.1          0.4           5.1 
   196         381          493         21.2        16.8         16.4       214.5      194.0       326.5         -20.9          -22.5         -9.5          52.2 
   197          42          425         24.0        23.1         23.4       194.3      189.0       198.1          -4.0           -2.6         -2.7           2.0 
   198          14           11         48.6        49.3         49.6       432.3      444.0       456.7           1.3            2.0          2.7           5.6 
   199         179           22         51.6        50.0         51.3       897.5      940.0       991.4          -3.1           -0.6          4.7          10.5 
   200         250          128         40.0        39.7         38.9       689.4      684.0       609.7          -0.6           -2.6         -0.8         -11.6 
   201         296          318         28.6        31.9         31.4       621.3      876.0       597.4          11.6            9.9         41.0          -3.9 
   202          32           96         44.3        40.7         41.1       621.9      624.0       644.4          -8.2           -7.3          0.3           3.6 
   203         155          164         44.4        40.6         40.3      1058.5      930.0       937.4          -8.7           -9.3        -12.1         -11.4 
   204         270          403         25.3        24.8         25.1       528.5      528.0       472.1          -1.9           -0.7         -0.1         -10.7 
   205         400          439         21.4        23.6         23.5       295.4      367.0       410.7          10.1            9.8         24.2          39.0 
   206         113          333         29.1        28.3         29.5       518.2      474.0       507.9          -2.7            1.5         -8.5          -2.0 
   207         403          458         20.9        22.7         22.2       205.3      315.0       251.8           8.4            6.0         53.4          22.7 
   208         383          244         36.2        34.2         36.1       564.9      439.0       500.8          -5.3           -0.2        -22.3         -11.3 
   209         361          387         31.8        26.6         27.9       305.2      261.0       386.5         -16.6          -12.3        -14.5          26.6 
   210         370           90         48.8        44.2         46.3       806.5      705.0       755.9          -9.5           -5.1        -12.6          -6.3 
   211         144           57         47.1        46.7         47.5       970.4     1021.0      1061.9          -0.9            0.9          5.2           9.4 
   212         421          150         38.8        38.7         40.6       464.1      592.0       744.1          -0.2            4.7         27.6          60.3 
   213         313           14         47.8        49.4         49.0       952.2     1200.0      1115.7           3.3            2.5         26.0          17.2 
   214         192          156         45.8        41.3         42.2       517.9      449.0       479.6          -9.8           -7.9        -13.3          -7.4 
   215         171          390         28.1        25.2         25.9       482.5      464.0       488.6         -10.5           -8.0         -3.8           1.3 
   216         414           93         41.6        43.2         42.5       429.9      517.0       489.5           3.9            2.3         20.3          13.9 
   217         475          210         37.5        35.0         34.8       438.9      497.0       465.1          -6.8           -7.3         13.2           6.0 
   218         355           20         46.3        49.6         48.3       456.3      573.0       513.8           7.2            4.4         25.6          12.6 
   219         446          408         26.8        24.2         25.6       688.7      581.0       690.5          -9.7           -4.5        -15.6           0.3 
   220         460          121         38.9        41.4         41.3       644.7      672.0       718.5           6.4            6.0          4.2          11.5 
   221         184          174         39.9        36.5         37.0       990.1      909.0       952.0          -8.7           -7.4         -8.2          -3.8 
   222         181          178         44.0        39.0         40.5      1168.5      984.0      1089.6         -11.5           -8.0        -15.8          -6.7 
   223          81          442         21.6        22.2         23.1       436.4      507.0       563.9           2.7            6.8         16.2          29.2 
   224         165          126         48.3        43.3         43.5       437.8      456.0       439.2         -10.3           -9.9          4.2           0.3 
   225         386           35         49.3        48.3         50.0       516.3      505.0       550.2          -2.2            1.4         -2.2           6.6 
   226           5          285         30.7        30.0         29.9       530.1      611.0       589.3          -2.3           -2.7         15.3          11.2 
   227         375           31         50.9        46.8         46.8       420.6      416.0       424.7          -8.2           -8.1         -1.1           1.0 
   228         256          231         35.0        35.4         35.3       441.5      625.0       668.1           1.0            0.8         41.6          51.3 
   229         151          316         30.8        30.5         30.9       332.7      359.0       361.9          -0.9            0.3          7.9           8.8 
   230         130           63         46.6        47.4         48.2       682.7      743.0       773.0           1.7            3.4          8.8          13.2 
   231          99          295         36.8        31.5         31.9       333.4      285.0       295.3         -14.4          -13.4        -14.5         -11.4 
   232          47          200         38.0        38.3         40.3       682.0      661.0       767.5           0.9            6.1         -3.1          12.5 
   233         105           56         44.2        45.8         46.9       436.3      479.0       519.8           3.6            6.1          9.8          19.1 
   234         254           37         50.5        47.0         46.9       478.8      568.0       543.1          -6.9           -7.2         18.6          13.4 
   235         103          143         41.5        39.6         40.5       861.8      734.0       780.8          -4.7           -2.5        -14.8          -9.4 
   236           7          242         34.9        32.4         33.3       719.2      604.0       643.7          -7.3           -4.7        -16.0         -10.5 
   237         172          118         45.0        42.2         43.0       678.2      603.0       618.5          -6.3           -4.5        -11.1          -8.8 
   238         465            3         49.1        52.7         49.0       397.5      608.0       450.8           7.4           -0.2         52.9          13.4 
   239         213          488         21.8        19.2         19.8       325.1      313.0       329.7         -11.6           -9.0         -3.7           1.4 
   240          39          421         25.4        22.3         22.9       495.1      482.0       506.4         -12.0           -9.7         -2.6           2.3 
   241          30          343         29.7        28.4         30.1       819.2      757.0       887.7          -4.4            1.3         -7.6           8.4 
   242          43          444         25.0        22.3         22.8       254.8      227.0       240.5         -10.6           -8.7        -10.9          -5.6 
   243         142           64         48.7        44.5         45.6       810.7      786.0       832.9          -8.5           -6.3         -3.0           2.7 
   244         145          481         22.2        20.2         21.3       472.7      428.0       506.7          -9.0           -4.2         -9.5           7.2 
   245          68          419         22.0        21.2         21.3       349.9      351.0       349.6          -3.6           -3.2          0.3          -0.1 
   246         117          324         34.7        32.5         35.5       549.3      500.0       651.8          -6.4            2.2         -9.0          18.7 
   247         289          260         33.6        33.3         33.3       645.1      632.0       592.6          -1.0           -0.8         -2.0          -8.1 
   248         308          232         38.1        35.5         36.6       374.6      371.0       384.9          -6.9           -3.9         -1.0           2.7 
   249          74          208         25.8        37.2         39.2       248.0      470.0       518.9          44.3           52.0         89.5         109.2 
   250         464           76         46.7        44.5         45.3       426.2      380.0       406.4          -4.7           -3.1        -10.8          -4.6 
   251         216          153         38.9        39.0         40.0       995.4     1051.0      1131.5           0.1            2.7          5.6          13.7 
   252         330          426         25.9        25.1         25.9       481.5      463.0       430.3          -3.1            0.2         -3.8         -10.6 
   253         188          309         31.3        29.8         31.2       573.4      548.0       624.2          -5.0           -0.5         -4.4           8.9 
   254         204          241         36.4        33.0         34.9       715.2      671.0       816.3          -9.3           -4.1         -6.2          14.1 
   255         118          352         29.3        28.3         28.0       234.2      252.0       236.5          -3.3           -4.3          7.6           1.0 
   256          96          320         33.4        31.4         31.9       409.1      365.0       373.3          -6.1           -4.6        -10.8          -8.8 
   257         177          108         44.7        43.3         43.5       718.8      732.0       738.8          -3.1           -2.7          1.8           2.8 
   258          67          372         25.0        24.6         25.8       543.7      419.0       492.3          -1.9            3.1        -22.9          -9.5 
   259         175          234         35.9        17.1         35.0       791.0      721.0       882.0         -52.4           -2.6         -8.8          11.5 
   260          29          404         25.8        24.3         26.0       612.1      708.0       810.6          -5.8            0.7         15.7          32.4 
   261         126           39         50.8        48.1         48.6      1205.3      964.0       947.4          -5.2           -4.3        -20.0         -21.4 
   262         112          116         42.2        40.9         40.6       339.8      456.0       423.8          -3.0           -3.9         34.2          24.7 
   263         440          183         37.3        36.5         34.6       395.4      518.0       401.4          -2.3           -7.3         31.0           1.5 
   264          36          491         21.4        18.6         18.6       233.4      262.0       250.5         -13.1          -13.2         12.3           7.3 
   265         434          166         40.8        39.2         40.5       580.7      565.0       605.7          -3.9           -0.7         -2.7           4.3 
   266          23          245         34.9        35.4         36.3       896.9      853.0       933.8           1.4            4.1         -4.9           4.1 
   267         462          133         47.4        40.9         42.4       393.7      343.0       396.4         -13.6          -10.6        -12.9           0.7 
   268         109          384         30.8        28.3         29.4       424.9      396.0       433.0          -8.1           -4.5         -6.8           1.9 
