budget,countries,runtime,cast_size,crew_size,cast_vote_avg,popular
12000000,2,104,23,15,5.9,False
0,1,76,1,8,6.1,True
100000000,3,104,23,31,6.2,False
0,0,22,10,7,6.7,True
0,1,90,12,6,6.1,False
0,1,97,16,11,6.0,False
18000000,1,93,15,54,6.6,False
0,1,90,8,2,5.9,False
55000000,1,81,19,44,6.6,False
26000000,1,121,26,47,6.3,True
0,1,88,9,11,6.3,False
170000000,1,136,71,460,6.3,True
0,1,6,17,8,6.2,False
0,1,7,3,12,6.4,True
90000000,1,92,51,20,6.1,False
0,1,11,5,5,6.2,True
250000000,1,132,45,139,6.2,False
0,1,71,23,3,6.4,False
185000000,1,93,15,276,6.4,True
75000000,1,78,18,128,5.9,False
62770198,2,101,49,46,6.3,True
80000000,1,117,23,104,6.3,False
0,1,121,26,36,5.9,True
37931000,1,77,17,24,6.6,False
0,1,8,2,14,6.1,False
90000000,1,114,24,24,6.0,False
22120,1,8,1,19,6.2,False
0,0,0,0,1,0.0,False
5000000,1,55,42,20,6.5,False
0,1,88,15,14,5.7,False
0,1,182,0,2,0.0,False
0,1,92,12,8,5.7,True
0,1,93,3,4,6.6,False
0,1,84,2,2,0.0,True
55000000,1,93,50,87,6.0,False
94000000,1,100,68,420,6.4,True
0,0,60,0,2,0.0,True
0,1,91,10,7,5.8,True
0,1,81,13,3,6.0,False
0,1,74,14,56,6.2,True
38000000,1,79,21,57,6.3,False
5000000,1,126,11,12,6.1,False
0,1,58,3,1,6.5,True
22000000,1,97,62,39,6.3,False
54000000,2,103,20,12,6.7,False
0,1,89,7,5,5.9,False
0,1,5,2,20,7.8,True
0,1,96,47,3,5.9,False
858000,1,70,14,69,6.2,True
0,1,84,34,9,6.1,False
0,2,128,13,21,6.6,True
0,1,108,12,15,6.1,False
4000000,1,76,11,39,6.2,True
0,1,84,21,14,6.1,True
0,1,7,3,12,6.4,False
20000000,1,93,12,28,5.8,False
0,1,14,4,10,5.2,False
0,1,60,1,3,0.0,True
35000000,1,126,62,60,6.1,True
0,1,3,1,26,7.2,True
0,1,44,7,13,7.0,True
0,1,44,1,2,4.0,True
27878,1,9,5,12,6.2,False
0,1,7,4,15,6.3,True
0,1,100,7,4,5.9,False
35000000,1,88,40,80,6.3,False
0,1,8,5,13,6.3,False
0,1,7,28,13,6.5,True
0,1,71,1,15,6.9,True
0,1,78,12,14,6.2,False
85000000,1,107,248,127,6.4,False
0,1,5,17,13,6.6,False
0,1,3,3,3,6.1,False
45223,1,7,5,22,6.9,True
0,1,97,28,14,6.0,False
0,2,90,54,46,5.9,False
0,1,6,19,19,6.5,False
0,1,88,30,1,5.9,False
0,5,55,2,6,7.2,True
200000000,1,116,43,130,6.3,False
0,1,74,14,34,6.8,False
0,1,95,21,13,6.7,False
25000000,1,86,47,12,5.8,False
0,1,7,4,25,6.6,True
0,2,89,23,8,6.1,False
40000000,1,100,30,17,5.9,False
200000000,1,108,38,149,6.4,False
0,0,47,13,1,6.1,True
0,1,19,11,12,5.7,True
0,1,48,1,4,6.0,False
45000000,1,103,76,39,6.4,False
15000000,2,89,24,8,5.9,False
1500000,1,7,1,23,5.7,True
66260,1,8,3,23,6.6,False
0,1,7,3,13,6.4,False
0,1,44,5,2,0.0,False
0,2,3,2,10,0.0,True
25000000,1,120,64,13,5.9,True
0,1,9,5,14,6.3,True
0,1,97,15,11,6.0,False
0,1,89,19,10,6.1,False
0,1,90,0,2,0.0,True
0,1,65,7,18,6.6,False
0,1,68,13,24,6.8,False
14000000,1,74,18,29,6.7,True
0,1,73,19,8,6.6,False
0,1,44,1,0,0.0,True
10000000,1,74,24,10,6.3,False
100000000,1,131,38,198,6.0,False
0,1,47,7,7,5.7,False
0,1,118,10,15,6.2,False
45000000,1,89,29,209,6.5,True
0,1,7,6,20,6.0,False
0,1,91,17,10,6.0,False
0,1,82,26,8,6.1,False
0,2,101,16,36,6.0,False
0,1,47,1,3,5.9,False
0,1,33,1,5,6.9,True
0,1,9,4,18,6.2,False
50000000,1,91,25,18,6.3,False
200000000,1,103,60,219,6.5,True
0,0,22,5,12,6.8,True
40000000,1,104,84,26,6.1,False
85000000,1,93,29,53,6.3,True
200000000,1,133,181,156,6.4,True
0,0,40,6,3,6.7,False
0,1,77,2,7,5.3,False
84000000,1,105,81,287,6.3,True
0,1,75,2,22,6.6,True
0,1,8,2,23,6.4,False
128000000,1,85,21,91,6.3,True
0,1,93,37,24,6.8,True
0,1,110,20,15,5.8,False
0,1,3,11,9,6.5,False
20000000,1,107,19,9,6.1,True
120000000,1,95,16,83,6.4,False
0,1,96,19,73,5.9,False
12000000,2,85,67,24,6.6,True
40000000,1,113,152,58,6.1,False
85000000,1,100,15,14,6.3,False
0,1,93,16,10,5.8,False
175000000,2,105,85,179,6.1,True
0,0,90,7,40,5.8,False
0,1,90,19,4,5.9,False
0,2,96,24,15,6.2,True
10000000,1,93,31,17,6.1,False
35000000,1,100,34,41,6.2,False
0,1,87,10,7,6.1,False
0,1,88,1,8,5.2,False
0,1,6,12,12,6.3,False
0,1,44,10,8,5.7,False
5000000,1,89,1,8,6.6,True
0,2,80,17,15,5.9,False
0,1,106,37,19,6.0,False
20000000,1,117,34,10,6.0,False
16000000,1,97,44,48,6.0,True
0,1,7,2,11,6.3,False
150000000,1,88,14,11,6.4,False
0,1,88,31,10,6.1,False
0,1,7,2,12,6.3,False
0,1,105,20,14,6.0,False
20000000,1,86,15,3,6.1,False
2900000,1,74,23,53,6.2,True
0,1,100,20,12,6.0,False
0,1,8,3,18,6.2,False
103000000,1,109,38,40,6.4,False
0,1,113,29,125,6.3,False
40000000,1,120,24,14,5.9,True
0,1,21,5,14,6.4,True
0,0,87,13,12,5.7,False
20000000,1,72,18,57,6.4,False
90000000,1,88,26,16,6.2,False
0,1,86,19,16,6.3,False
0,1,5,1,25,7.2,True
0,1,74,26,7,6.0,False
5000000,2,74,19,38,6.8,False
